#ID	a	e	i	o	p	M
2797	5.11	0.09	22.39	69.95	48.13	115.22
2798	2.42	0.06	5.33	219.70	174.06	238.23
2799	2.39	0.13	5.29	283.19	19.83	30.18
2800	3.15	0.14	3.08	102.75	180.79	19.44
2801	2.80	0.17	9.56	34.23	314.81	282.70
2802	3.11	0.12	9.62	129.55	62.12	287.95
2803	3.15	0.17	1.33	21.00	44.03	142.39
2804	3.02	0.07	11.20	109.53	171.34	341.74
2805	2.69	0.15	6.89	49.29	309.73	115.07
2806	2.38	0.05	2.34	116.09	312.76	143.88
2807	2.79	0.18	7.89	28.52	92.85	100.90
2808	3.01	0.09	8.96	314.82	111.39	292.67
2809	2.43	0.18	2.48	357.44	348.50	326.11
2810	2.61	0.15	12.73	193.45	259.07	9.95
2811	2.86	0.04	1.03	332.39	114.17	135.24
2812	2.22	0.09	6.82	68.27	100.71	61.96
2813	3.14	0.14	14.73	231.99	247.57	348.22
2814	2.87	0.07	2.46	154.22	175.63	103.66
2815	2.23	0.17	5.70	119.93	237.63	220.14
2816	2.73	0.19	7.72	94.01	263.78	325.82
2817	2.36	0.18	2.27	255.02	96.86	50.17
2818	2.38	0.15	2.96	60.97	100.99	227.74
2819	2.76	0.20	2.44	18.49	344.25	192.26
2820	2.23	0.16	2.94	216.89	159.93	217.01
2821	2.44	0.20	6.75	58.80	348.89	272.09
2822	2.58	0.12	14.71	93.43	21.60	51.15
2823	2.41	0.09	3.82	248.63	127.59	273.69
2824	2.33	0.21	3.37	312.97	71.23	57.80
2825	2.25	0.17	3.52	329.63	81.44	191.39
2826	3.22	0.04	15.49	33.83	156.23	276.41
2827	2.31	0.03	8.63	345.62	205.07	263.21
2828	2.24	0.09	3.31	74.49	23.74	295.99
2829	3.08	0.19	14.33	324.21	340.05	136.76
2830	2.38	0.21	25.32	49.12	140.53	259.89
2831	2.23	0.20	4.22	82.08	272.56	114.88
2832	2.48	0.09	4.17	162.89	347.27	229.14
2833	2.87	0.07	1.34	337.18	345.13	139.60
2834	2.54	0.16	6.44	208.77	278.80	235.54
2835	2.75	0.08	1.34	5.45	348.76	349.99
2836	3.00	0.10	9.68	348.35	320.89	106.62
2837	2.90	0.06	2.89	62.00	1.09	196.00
2838	2.34	0.19	2.13	80.43	333.24	64.21
2839	2.22	0.15	4.81	44.66	6.38	237.40
2840	2.40	0.09	8.51	59.13	263.58	47.69
2841	2.25	0.08	4.92	91.64	89.22	62.48
2842	2.62	0.10	11.73	310.25	201.31	96.99
2843	2.30	0.13	5.47	256.26	255.08	47.04
2844	2.22	0.17	2.95	127.84	150.86	352.74
2845	2.26	0.16	6.01	144.50	134.73	318.26
2846	3.22	0.07	11.41	144.87	78.42	225.65
2847	2.17	0.12	2.45	247.07	11.81	1.24
2848	3.20	0.20	0.92	338.96	52.83	344.47
2849	2.57	0.01	6.80	44.15	301.19	199.49
2850	2.45	0.05	7.85	106.21	343.33	229.43
2851	2.48	0.12	8.56	50.61	15.50	220.26
2852	2.78	0.09	1.70	110.16	255.98	332.33
2853	2.35	0.14	4.15	204.53	202.01	116.29
2854	2.21	0.12	5.76	292.56	279.87	132.06
2855	2.45	0.17	8.15	339.47	99.26	308.81
2856	3.03	0.01	9.91	17.16	258.70	116.22
2857	2.40	0.10	5.74	149.99	331.88	324.16
2858	2.27	0.19	6.69	128.66	181.52	252.29
2859	2.24	0.12	3.55	165.45	341.01	148.95
2860	2.33	0.21	22.70	334.62	70.77	96.94
2861	2.47	0.07	4.05	188.74	224.32	309.27
2862	2.20	0.11	3.48	225.94	278.03	215.49
2863	3.16	0.20	1.97	120.85	221.66	43.66
2864	2.75	0.15	3.14	135.30	11.37	258.72
2865	2.56	0.07	14.30	321.86	294.45	19.85
2866	2.91	0.20	8.22	317.24	25.92	249.30
2867	2.36	0.15	9.95	55.54	250.45	293.78
2868	2.81	0.18	7.55	138.26	261.53	275.75
2869	2.64	0.17	12.89	357.44	297.64	276.50
2870	2.39	0.21	4.16	86.12	279.34	52.16
2871	2.26	0.14	5.78	28.46	335.35	276.67
2872	2.74	0.12	2.87	241.65	238.81	293.01
2873	2.25	0.16	5.90	101.09	168.40	181.32
2874	2.24	0.13	4.89	79.26	322.44	181.11
2875	2.80	0.10	9.03	340.49	169.94	221.57
2876	2.60	0.12	14.89	3.04	97.58	92.44
2877	3.11	0.19	2.34	81.10	231.12	200.02
2878	3.05	0.08	10.25	318.48	15.13	201.09
2879	2.77	0.14	10.71	149.40	26.32	267.33
2880	2.20	0.17	5.74	39.76	247.02	96.18
2881	2.25	0.15	4.61	173.16	326.62	150.10
2882	3.16	0.19	0.29	314.95	7.86	34.54
2883	2.25	0.08	1.41	48.56	150.99	89.26
2884	3.11	0.18	1.95	41.36	14.88	208.77
2885	2.24	0.19	2.87	349.34	44.12	144.84
2886	2.37	0.15	1.31	107.79	332.04	253.36
2887	2.26	0.15	4.37	119.15	148.77	46.12
2888	2.26	0.13	7.63	351.56	78.68	145.47
2889	3.03	0.11	9.47	220.74	120.14	185.39
2890	2.26	0.16	6.63	356.95	50.71	216.95
2891	3.36	0.13	9.33	115.18	247.26	241.59
2892	3.17	0.21	16.92	327.00	90.45	358.62
2893	5.18	0.08	14.64	108.77	170.67	183.18
2894	3.11	0.14	2.59	86.32	32.64	189.76
2895	5.23	0.05	27.23	134.00	276.67	76.85
2896	2.22	0.19	6.00	171.75	121.25	84.80
2897	2.25	0.10	5.84	48.38	101.11	201.97
2898	2.56	0.02	14.30	116.83	214.73	296.42
2899	2.26	0.16	3.23	19.86	303.98	315.45
2900	3.03	0.10	10.16	17.95	286.23	260.36
2901	2.86	0.05	3.17	69.24	243.52	41.18
2902	2.20	0.20	4.37	178.52	158.68	35.44
2903	2.56	0.06	14.34	232.82	242.48	139.94
2904	2.60	0.14	15.38	79.72	332.05	167.64
2905	2.80	0.10	8.90	10.07	221.02	214.65
2906	3.16	0.11	30.69	84.61	295.08	42.77
2907	3.02	0.09	10.20	172.69	200.38	199.57
2908	2.98	0.15	13.36	233.43	154.91	176.20
2909	3.02	0.12	11.44	85.54	287.27	267.56
2910	2.20	0.16	2.94	44.35	326.05	144.61
2911	2.79	0.09	9.62	149.39	63.83	76.20
2912	2.29	0.07	7.28	108.24	75.92	0.79
2913	2.71	0.20	16.09	30.42	21.94	128.04
2914	2.26	0.13	2.96	166.87	222.66	149.27
2915	2.56	0.19	13.22	352.90	357.15	223.08
2916	2.23	0.10	3.59	311.18	244.57	72.35
2917	2.80	0.11	12.82	348.97	37.83	17.28
2918	3.17	0.16	2.09	135.81	167.24	150.85
2919	3.14	0.14	1.42	161.61	121.09	356.15
2920	5.12	0.03	21.12	230.96	198.13	161.78
2921	3.26	0.15	1.47	149.74	191.95	213.16
2922	2.37	0.14	2.98	188.10	344.19	312.89
2923	2.45	0.13	2.87	350.81	171.43	60.20
2924	2.89	0.05	3.14	110.83	196.89	73.82
2925	2.39	0.19	2.22	217.43	277.88	321.75
2926	2.27	0.12	3.48	221.10	34.85	26.58
2927	2.53	0.17	17.01	150.56	189.05	306.49
2928	3.01	0.07	9.54	310.77	148.96	260.79
2929	3.12	0.07	14.88	142.85	27.64	22.27
2930	2.78	0.02	4.07	359.58	105.20	79.66
2931	2.87	0.06	2.22	25.47	285.75	148.20
2932	3.64	0.11	2.27	169.52	193.61	180.19
2933	2.61	0.05	7.22	121.56	223.00	267.90
2934	3.17	0.04	8.81	202.51	83.79	5.18
2935	2.60	0.13	13.04	135.79	137.28	85.37
2936	2.68	0.07	8.47	333.95	322.80	313.80
2937	2.32	0.30	21.76	265.79	71.91	291.14
2938	3.15	0.33	41.42	109.27	263.08	90.07
2939	2.44	0.16	3.96	350.12	236.93	273.05
2940	2.79	0.23	6.43	273.99	116.78	159.01
2941	2.15	0.09	3.24	10.48	64.69	150.25
2942	2.24	0.15	6.82	116.51	154.92	141.45
2943	2.45	0.15	12.94	314.08	44.05	185.40
2944	2.65	0.17	10.65	194.97	153.13	10.53
2945	2.67	0.14	2.63	95.93	243.37	328.17
2946	2.45	0.17	0.58	322.06	103.11	116.81
2947	2.31	0.12	3.13	284.21	166.11	276.60
2948	2.86	0.10	12.33	209.01	246.39	25.10
2949	2.19	0.14	4.86	163.26	130.42	213.99
2950	2.76	0.26	9.60	112.16	294.56	191.54
2951	3.13	0.12	14.70	25.38	113.89	211.43
2952	2.31	0.17	3.32	323.54	78.09	19.05
2953	2.83	0.03	1.07	251.33	7.38	223.11
2954	2.29	0.19	3.94	164.55	50.30	149.07
2955	2.18	0.12	3.60	32.56	234.22	267.52
2956	2.77	0.09	2.86	112.44	120.61	306.53
2957	3.02	0.09	8.69	249.66	63.80	329.83
2958	2.87	0.02	1.02	297.98	315.29	212.16
2959	3.94	0.27	5.23	121.34	284.78	209.28
2960	2.22	0.11	4.50	130.88	333.44	167.23
2961	2.27	0.14	4.55	221.23	196.09	149.87
2962	2.57	0.04	15.65	54.42	116.87	119.73
2963	2.87	0.07	2.71	47.74	350.05	97.13
2964	2.59	0.20	13.56	330.89	59.14	11.67
2965	2.39	0.22	24.24	127.03	72.28	331.35
2966	2.45	0.14	2.55	46.57	197.37	30.21
2967	3.20	0.13	18.01	32.55	2.18	250.84
2968	2.37	0.31	9.14	274.46	34.40	74.62
2969	2.85	0.03	1.88	181.57	95.70	238.89
2970	2.64	0.15	12.09	342.91	75.92	356.58
2971	2.25	0.12	6.99	76.26	352.57	41.78
2972	2.15	0.17	1.09	204.44	139.25	245.28
2973	2.47	0.15	1.56	336.90	89.55	341.32
2974	2.31	0.14	6.43	215.05	130.62	339.66
2975	2.25	0.09	6.90	236.69	316.99	52.26
2976	3.36	0.14	9.77	207.10	180.46	147.00
2977	2.79	0.17	9.60	170.71	184.66	171.64
2978	3.10	0.18	1.24	348.70	5.97	278.42
2979	3.13	0.15	11.40	148.78	197.49	279.58
2980	2.57	0.18	7.28	172.51	253.42	351.30
2981	3.16	0.16	0.86	186.14	95.73	350.57
2982	3.00	0.06	10.25	43.15	33.50	330.90
2983	2.85	0.06	4.26	248.04	90.25	290.67
2984	2.47	0.13	3.05	81.86	46.90	284.05
2985	2.85	0.04	2.66	34.46	271.02	210.60
2986	3.17	0.15	2.54	51.43	304.31	274.94
2987	2.89	0.06	1.01	167.62	333.00	223.62
2988	2.61	0.13	14.73	100.97	133.69	161.75
2989	2.24	0.17	3.63	75.89	247.00	174.57
2990	2.44	0.12	2.79	171.97	318.16	109.22
2991	2.34	0.22	5.15	96.71	198.00	49.57
2992	2.74	0.19	7.04	185.15	267.59	183.82
2993	2.59	0.20	12.28	313.65	74.11	29.02
2994	2.42	0.23	2.48	358.50	321.19	275.75
2995	2.62	0.13	14.84	169.94	330.20	294.30
2996	2.78	0.03	3.67	334.55	306.41	1.51
2997	2.56	0.20	7.20	355.31	349.85	108.59
2998	2.42	0.20	3.07	157.56	204.68	264.45
2999	2.27	0.11	6.77	75.10	38.92	359.91
3000	2.35	0.18	2.75	201.09	173.12	350.13
3001	2.36	0.07	18.36	297.80	136.17	158.50
3002	2.24	0.13	6.15	115.51	132.86	186.63
3003	3.02	0.12	11.58	104.16	281.27	48.84
3004	2.59	0.27	30.15	322.61	212.81	314.67
3005	2.37	0.19	2.36	177.71	77.09	20.79
3006	2.43	0.19	3.05	8.70	6.34	220.38
3007	2.37	0.13	8.34	68.87	252.78	13.15
3008	3.17	0.14	0.80	168.86	300.64	224.59
3009	2.20	0.20	4.56	8.64	316.14	214.44
3010	3.22	0.18	2.03	127.20	170.50	253.08
3011	3.20	0.20	6.22	207.24	210.13	180.48
3012	3.22	0.06	18.27	355.34	85.54	45.04
3013	2.36	0.14	3.67	7.30	94.34	255.48
3014	2.36	0.23	0.99	140.80	180.54	352.07
3015	3.40	0.16	17.43	38.48	301.58	338.66
3016	2.83	0.04	2.89	129.07	322.18	46.30
3017	2.61	0.13	11.83	257.84	216.55	101.54
3018	2.37	0.19	4.73	228.44	72.34	12.97
3019	2.86	0.05	3.22	104.31	321.49	180.80
3020	2.76	0.06	6.27	141.98	195.80	0.79
3021	3.18	0.26	16.54	353.24	96.44	279.05
3022	1.93	0.10	23.52	180.94	247.06	301.12
3023	2.22	0.09	3.99	230.76	344.30	53.81
3024	3.42	0.12	14.77	28.02	337.89	253.94
3025	3.20	0.09	21.01	293.63	117.90	261.48
3026	3.03	0.03	9.65	216.06	109.69	100.71
3027	2.67	0.22	1.96	194.81	153.88	346.17
3028	3.02	0.02	9.51	189.82	11.34	185.60
3029	2.24	0.11	3.42	313.78	269.16	336.04
3030	2.27	0.24	3.49	293.10	109.57	84.34
3031	2.24	0.10	4.34	317.90	249.21	25.56
3032	2.89	0.08	3.22	88.48	277.60	221.93
3033	2.24	0.10	4.74	167.00	67.07	2.44
3034	2.33	0.21	4.92	10.79	313.29	230.25
3035	2.63	0.13	2.59	180.30	30.14	277.80
3036	3.21	0.09	22.88	24.04	317.53	260.07
3037	2.68	0.19	18.98	107.98	329.70	350.25
3038	2.44	0.21	4.71	351.81	11.13	299.90
3039	2.56	0.15	15.27	190.77	71.38	210.91
3040	1.84	0.20	46.64	143.56	290.24	158.39
3041	2.59	0.15	14.61	82.58	351.49	85.66
3042	2.28	0.21	4.99	226.47	70.05	216.15
3043	1.93	0.11	21.79	351.18	31.43	75.48
3044	2.85	0.16	13.52	242.71	69.23	166.74
3045	3.13	0.12	3.35	36.40	333.11	1.99
3046	3.14	0.15	18.33	188.84	263.21	277.24
3047	2.64	0.03	1.61	317.67	77.72	59.26
3048	2.40	0.15	1.94	214.42	266.40	194.24
3049	3.12	0.14	2.50	95.08	169.94	171.71
3050	2.23	0.19	1.31	240.16	84.90	256.14
3051	2.59	0.26	13.33	280.53	92.79	112.42
3052	2.37	0.18	3.90	238.63	279.40	167.93
3053	2.38	0.21	4.62	6.91	316.17	150.25
3054	3.09	0.21	2.08	146.28	188.67	7.05
3055	2.56	0.11	15.01	3.52	63.59	82.91
3056	2.42	0.12	5.64	11.55	346.35	6.10
3057	2.26	0.07	7.28	75.47	122.38	306.45
3058	2.25	0.16	3.55	208.00	210.52	104.61
3059	2.27	0.13	2.36	181.55	241.49	65.10
3060	2.28	0.18	7.27	326.84	4.47	159.66
3061	3.09	0.20	3.26	98.13	244.53	58.48
3062	3.02	0.11	11.32	110.72	268.36	110.85
3063	5.18	0.06	12.18	287.88	204.91	120.32
3064	2.45	0.12	2.94	157.30	5.14	123.87
3065	2.72	0.06	4.30	303.22	210.63	225.31
3066	2.53	0.13	15.57	175.76	187.69	206.14
3067	2.25	0.14	4.52	350.65	95.03	157.84
3068	2.23	0.10	6.45	21.67	133.11	149.19
3069	2.35	0.24	1.68	217.60	123.61	72.14
3070	2.31	0.20	2.34	170.51	52.73	293.99
3071	3.21	0.08	2.20	134.24	40.31	186.20
3072	2.24	0.18	5.64	152.63	139.65	333.14
3073	2.24	0.14	5.03	204.28	232.10	125.19
3074	2.34	0.11	2.42	348.84	151.17	318.32
3075	2.27	0.13	9.98	334.66	10.26	161.91
3076	2.24	0.19	7.71	195.66	166.45	211.09
3077	2.24	0.06	1.47	297.59	117.62	157.85
3078	3.15	0.10	7.11	32.79	141.97	252.13
3079	2.69	0.22	3.92	183.37	300.31	276.49
3080	2.61	0.20	13.87	48.30	307.08	148.55
3081	2.41	0.18	5.29	43.96	279.44	345.59
3082	2.58	0.08	10.34	117.78	231.82	213.20
3083	2.28	0.15	6.48	346.63	263.71	305.17
3084	2.44	0.23	4.14	185.98	144.80	59.25
3085	2.39	0.10	3.82	271.19	159.16	316.73
3086	1.94	0.03	19.00	300.86	281.98	195.32
3087	3.08	0.11	19.83	338.87	79.14	16.84
3088	3.02	0.05	10.24	171.36	321.66	47.02
3089	2.93	0.18	16.68	88.44	184.72	14.37
3090	3.17	0.08	9.60	170.84	181.23	125.52
3091	2.35	0.17	2.01	228.76	9.40	193.54
3092	3.53	0.12	10.94	8.65	2.05	211.61
3093	2.68	0.21	12.74	278.77	60.85	181.65
3094	2.65	0.07	14.59	172.65	48.92	302.91
3095	3.50	0.07	2.99	293.46	112.12	209.84
3096	2.67	0.19	12.15	168.83	165.64	117.97
3097	2.93	0.08	7.45	196.88	88.92	357.15
3098	2.30	0.21	1.34	117.82	194.95	256.03
3099	2.88	0.20	15.47	31.38	145.67	85.13
3100	2.26	0.09	2.82	27.22	94.11	100.76
3101	1.98	0.05	28.56	154.99	208.66	25.31
3102	2.15	0.45	8.42	172.28	154.43	121.87
3103	1.41	0.35	20.93	129.86	253.89	301.60
3104	2.96	0.09	24.19	162.31	244.84	242.62
3105	2.26	0.19	6.48	140.59	198.38	189.25
3106	3.15	0.23	14.83	121.56	290.85	147.02
3107	2.20	0.21	1.60	271.83	50.15	350.67
3108	2.23	0.17	3.28	162.14	226.51	200.84
3109	2.45	0.09	7.18	22.85	256.82	239.58
3110	2.56	0.12	2.24	348.06	73.73	346.49
3111	2.22	0.16	2.01	95.47	291.74	234.37
3112	2.38	0.20	3.95	69.34	246.07	153.41
3113	2.43	0.08	4.97	185.99	196.66	304.09
3114	2.42	0.20	2.23	176.75	108.22	123.36
3115	2.58	0.14	10.16	258.86	172.30	121.35
3116	2.23	0.20	5.47	80.44	270.82	321.89
3117	2.85	0.06	3.24	93.44	224.53	16.22
3118	3.04	0.06	13.26	305.10	260.46	334.03
3119	3.07	0.20	4.73	110.89	325.97	11.01
3120	3.03	0.10	12.95	220.62	138.39	263.15
3121	2.23	0.09	6.36	125.57	87.95	352.72
3122	1.77	0.42	22.17	336.19	27.63	181.97
3123	2.46	0.13	1.99	123.17	223.57	353.27
3124	2.74	0.08	5.91	161.11	169.88	75.93
3125	2.60	0.20	12.77	134.48	355.31	156.58
3126	3.00	0.11	9.71	206.40	163.57	271.61
3127	2.60	0.20	4.82	293.95	29.85	193.06
3128	3.11	0.16	2.94	102.49	189.51	147.06
3129	2.70	0.22	6.91	121.10	82.57	320.12
3130	2.47	0.20	4.21	109.88	244.44	27.43
3131	2.93	0.04	2.41	44.99	146.18	154.57
3132	3.15	0.12	4.45	113.14	265.36	189.78
3133	2.18	0.16	6.57	37.26	358.00	46.52
3134	3.98	0.22	7.64	257.11	163.15	184.97
3135	2.42	0.14	5.98	305.01	118.49	195.63
3136	3.16	0.13	4.53	81.01	34.76	338.89
3137	2.40	0.19	2.47	286.88	134.59	287.02
3138	2.23	0.07	4.61	225.38	319.67	172.02
3139	3.19	0.03	20.50	253.06	98.08	132.18
3140	3.02	0.10	11.26	101.95	265.06	153.73
3141	3.40	0.08	10.93	321.70	141.38	331.71
3142	2.55	0.09	14.17	321.09	188.27	196.02
3143	2.85	0.08	3.10	80.20	325.06	346.82
3144	2.23	0.21	5.51	248.92	95.55	20.62
3145	2.19	0.24	5.03	283.81	41.85	65.21
3146	2.43	0.20	8.37	183.42	84.12	180.82
3147	2.62	0.20	3.54	216.17	242.50	194.01
3148	3.10	0.19	0.73	1.14	44.61	187.75
3149	2.25	0.16	7.13	188.44	236.92	254.37
3150	3.20	0.12	22.09	350.46	274.34	192.67
3151	2.76	0.14	19.53	212.57	37.22	212.73
3152	2.63	0.09	11.32	301.65	289.35	359.13
3153	2.42	0.13	7.70	40.75	347.09	96.30
3154	3.10	0.17	2.47	102.70	307.76	218.61
3155	2.34	0.10	7.20	28.67	28.45	181.43
3156	2.86	0.19	15.81	7.27	118.96	286.77
3157	3.16	0.14	7.59	42.14	320.17	206.01
3158	2.55	0.10	14.57	187.67	228.18	280.82
3159	2.57	0.11	14.60	223.18	58.59	26.16
3160	2.38	0.16	5.08	310.71	331.95	233.18
3161	2.57	0.17	14.93	351.66	256.02	47.37
3162	3.16	0.15	17.91	128.77	317.23	112.38
3163	2.39	0.34	3.09	194.15	121.72	93.41
3164	3.15	0.16	2.34	64.86	53.85	225.20
3165	2.24	0.18	3.92	88.75	239.65	4.46
3166	2.24	0.12	5.24	72.02	118.55	102.07
3167	2.54	0.11	15.59	17.86	256.73	124.51
3168	2.99	0.09	10.55	22.84	287.58	324.69
3169	1.89	0.07	24.91	96.45	32.41	140.41
3170	2.93	0.08	2.02	27.20	76.14	292.71
3171	3.19	0.13	11.39	31.99	24.75	115.86
3172	2.43	0.22	3.65	83.48	270.99	64.20
3173	2.20	0.21	7.80	79.42	219.18	96.58
3174	3.14	0.17	2.37	72.28	6.21	183.96
3175	2.36	0.21	0.64	208.38	189.71	332.10
3176	2.88	0.03	18.12	53.45	16.70	309.75
3177	2.63	0.15	15.96	35.30	40.36	217.99
3178	2.71	0.38	6.81	242.21	241.53	137.76
3179	3.10	0.15	1.75	179.81	275.26	9.07
3180	2.23	0.15	5.27	354.34	44.39	202.58
3181	2.23	0.06	3.96	221.29	304.50	57.99
3182	2.61	0.14	12.57	248.58	161.70	259.80
3183	3.19	0.13	2.18	128.72	216.57	239.17
3184	2.67	0.26	8.19	97.34	237.94	239.37
3185	2.37	0.19	3.96	71.33	281.64	42.88
3186	3.11	0.18	0.80	170.01	206.07	230.31
3187	2.28	0.06	2.76	312.55	104.87	267.46
3188	2.29	0.13	4.70	336.60	22.41	164.38
3189	3.10	0.20	8.22	177.63	191.07	278.89
3190	3.00	0.12	9.98	358.49	359.76	18.01
3191	2.87	0.02	2.74	50.93	201.37	177.42
3192	2.38	0.17	2.88	56.92	90.72	68.44
3193	2.30	0.11	5.74	11.94	75.93	237.23
3194	3.01	0.10	10.96	64.52	260.12	22.23
3195	2.91	0.07	0.87	275.44	55.44	100.91
3196	3.03	0.03	8.96	13.31	334.60	355.51
3197	2.66	0.18	16.43	111.87	313.40	200.22
3198	2.18	0.24	17.98	83.73	40.24	14.77
3199	1.57	0.28	32.98	340.08	53.32	37.12
3200	1.27	0.89	22.17	265.42	321.98	269.56
3201	2.26	0.09	2.99	109.57	53.33	195.94
3202	3.96	0.11	11.08	205.31	270.75	59.38
3203	2.32	0.26	6.67	48.56	305.32	247.25
3204	3.16	0.28	2.06	108.72	298.89	187.05
3205	2.68	0.20	12.31	120.41	282.25	189.38
3206	2.55	0.24	8.67	71.23	354.94	305.18
3207	2.91	0.06	2.21	168.03	151.54	137.73
3208	3.12	0.11	2.34	136.93	22.73	151.16
3209	2.19	0.05	5.23	128.35	30.67	345.86
3210	3.12	0.05	13.62	128.32	13.66	227.09
3211	2.73	0.25	10.51	337.40	83.92	171.09
3212	2.26	0.15	7.81	110.12	35.01	253.36
3213	3.21	0.15	0.96	34.10	324.00	225.85
3214	3.01	0.06	11.51	100.41	161.21	111.37
3215	3.12	0.11	7.21	67.28	42.23	194.59
3216	2.40	0.30	4.92	108.18	223.90	186.04
3217	2.39	0.26	6.14	343.64	356.53	194.66
3218	2.52	0.22	2.70	183.37	241.32	318.91
3219	3.04	0.12	6.79	290.12	289.00	52.15
3220	2.23	0.17	6.62	26.79	25.61	342.36
3221	2.20	0.15	3.65	78.72	233.19	101.69
3222	3.09	0.06	15.98	151.25	124.24	354.85
3223	2.61	0.15	10.04	168.35	292.68	183.74
3224	2.79	0.16	4.31	228.13	4.27	65.70
3225	1.88	0.05	25.06	188.92	138.00	223.16
3226	2.87	0.08	3.06	99.01	301.44	342.56
3227	2.45	0.14	3.91	154.49	331.65	38.25
3228	2.46	0.13	1.92	290.78	189.36	34.63
3229	2.31	0.15	9.46	306.76	19.11	10.95
3230	3.16	0.31	15.45	74.87	241.64	262.06
3231	2.45	0.13	6.39	324.62	53.60	114.31
3232	3.02	0.08	9.87	192.33	120.11	299.17
3233	2.23	0.10	3.61	347.81	65.09	17.77
3234	3.10	0.19	0.96	76.99	315.04	243.51
3235	2.69	0.24	13.48	348.42	167.41	134.57
3236	2.20	0.14	1.10	217.51	214.05	36.97
3237	3.02	0.06	9.12	280.69	340.55	59.62
3238	2.66	0.19	11.72	11.38	44.91	232.69
3239	2.18	0.22	3.02	93.83	239.24	64.41
3240	5.26	0.13	2.33	296.30	14.85	162.36
3241	3.05	0.16	1.64	127.30	310.75	305.49
3242	2.68	0.16	12.37	191.49	243.41	211.57
3243	3.04	0.11	9.34	349.42	290.53	130.71
3244	2.24	0.16	3.68	332.47	57.83	22.98
3245	3.12	0.16	0.33	348.75	84.30	180.08
3246	3.19	0.04	21.77	197.70	334.73	32.85
3247	2.38	0.13	3.93	45.76	145.85	352.71
3248	3.21	0.16	10.87	12.52	311.63	221.23
3249	2.35	0.25	3.37	76.37	309.40	353.10
3250	3.02	0.10	9.55	204.43	175.57	107.64
3251	3.11	0.16	0.72	142.41	237.96	353.30
3252	2.66	0.11	12.73	327.00	156.27	199.93
3253	2.25	0.20	7.42	60.25	234.12	185.10
3254	3.95	0.17	4.45	43.60	304.86	314.34
3255	2.37	0.36	21.35	337.32	79.26	177.12
3256	2.78	0.10	7.82	174.62	265.89	295.47
3257	2.25	0.17	5.56	30.42	275.31	160.29
3258	2.21	0.20	7.55	45.16	296.55	167.79
3259	3.16	0.13	15.52	242.70	314.65	37.36
3260	2.23	0.09	5.22	249.46	259.45	216.08
3261	2.90	0.08	2.75	143.11	182.87	64.71
3262	3.01	0.06	9.45	73.10	59.44	300.43
3263	2.41	0.07	7.74	78.52	9.50	186.22
3264	3.16	0.13	0.95	139.98	0.28	227.79
3265	2.41	0.14	6.94	72.94	297.83	252.44
3266	1.91	0.11	26.37	110.71	255.91	309.29
3267	2.33	0.30	23.98	110.69	307.16	279.36
3268	2.35	0.13	6.35	221.72	74.86	66.59
3269	2.79	0.16	17.20	353.57	44.04	160.27
3270	2.15	0.33	27.64	147.05	326.63	90.66
3271	2.10	0.40	25.04	158.95	158.86	103.27
3272	2.24	0.09	3.93	94.18	13.28	344.09
3273	3.40	0.03	14.06	46.14	218.20	339.93
3274	3.15	0.12	1.24	28.08	236.25	103.89
3275	2.33	0.18	8.59	45.43	192.25	103.30
3276	3.12	0.17	2.68	71.32	340.37	334.59
3277	3.14	0.27	8.58	85.09	295.91	340.14
3278	3.22	0.02	9.70	78.76	53.89	213.11
3279	2.20	0.17	3.16	192.05	166.60	173.89
3280	2.58	0.18	2.22	317.43	359.78	79.83
3281	2.35	0.10	6.00	348.70	239.97	120.71
3282	2.19	0.04	3.16	162.45	19.31	34.16
3283	2.40	0.10	6.89	356.83	352.68	284.88
3284	2.77	0.39	6.67	73.63	259.43	35.31
3285	2.53	0.21	20.55	246.27	168.93	74.99
3286	2.64	0.10	13.42	107.52	78.92	237.54
3287	2.37	0.30	12.08	213.37	95.86	77.36
3288	2.03	0.46	5.93	218.75	349.23	278.78
3289	2.33	0.21	1.76	46.44	351.92	241.37
3290	3.97	0.13	2.77	75.27	113.21	151.04
3291	3.15	0.10	2.00	151.43	166.81	56.29
3292	3.16	0.18	1.58	36.95	20.45	264.96
3293	2.40	0.14	2.14	9.80	207.71	86.71
3294	2.70	0.07	6.97	7.22	154.66	182.71
3295	2.69	0.25	8.82	168.42	217.75	221.32
3296	2.65	0.20	13.93	113.15	269.17	244.16
3297	3.13	0.17	2.38	112.39	290.99	245.98
3298	2.35	0.19	2.57	285.28	51.49	337.25
3299	2.28	0.08	5.47	251.87	242.40	240.79
3300	3.16	0.21	18.78	27.40	264.40	182.19
3301	2.23	0.15	5.06	137.03	117.77	265.22
3302	2.45	0.10	3.39	154.57	169.80	54.92
3303	2.90	0.07	2.77	52.27	281.87	270.95
3304	3.05	0.28	2.21	320.54	59.15	294.80
3305	2.60	0.15	13.47	32.33	239.66	198.35
3306	2.25	0.15	4.52	213.53	64.16	246.61
3307	2.26	0.10	6.37	263.37	145.99	105.95
3308	3.14	0.19	23.63	172.42	275.07	150.08
3309	1.82	0.05	21.14	29.86	218.33	346.00
3310	3.01	0.06	11.10	101.58	138.70	124.91
3311	2.79	0.04	0.93	157.42	10.94	199.12
3312	3.00	0.12	9.65	214.58	131.59	317.29
3313	2.65	0.13	11.41	272.46	345.83	159.18
