#ID	a	e	i	o	p	M
123	2.69	0.12	6.43	307.97	125.12	219.94
124	2.63	0.08	2.95	188.19	62.97	68.61
125	2.74	0.08	4.66	169.17	110.27	94.16
126	2.44	0.11	2.92	23.48	328.10	269.87
127	2.76	0.06	8.24	31.45	91.34	224.68
128	2.75	0.13	6.25	76.46	302.54	8.01
129	2.87	0.21	12.22	136.47	108.12	308.33
130	3.12	0.21	22.88	145.80	234.44	82.81
131	2.43	0.07	4.96	65.79	159.78	252.73
132	2.61	0.39	25.05	258.94	254.34	113.21
133	3.06	0.14	7.23	319.25	291.09	243.26
134	2.56	0.12	11.59	346.22	83.75	278.29
135	2.43	0.21	2.31	343.91	340.12	37.63
136	2.29	0.09	9.57	186.55	132.50	146.75
137	3.11	0.22	13.43	202.47	107.20	171.12
138	2.45	0.16	3.21	54.95	260.06	323.13
139	2.78	0.17	10.90	2.02	166.16	226.28
140	2.73	0.22	3.19	107.30	197.23	341.66
141	2.67	0.22	11.89	318.79	57.63	39.45
142	2.42	0.14	2.24	291.38	292.00	93.87
143	2.76	0.07	11.47	333.24	250.55	24.72
144	2.65	0.24	4.81	76.49	293.67	240.57
145	2.67	0.14	12.63	77.49	44.97	342.90
146	2.72	0.07	13.07	84.19	143.22	336.52
147	3.14	0.03	1.93	248.73	107.76	42.54
148	2.77	0.19	25.30	145.20	252.23	312.66
149	2.17	0.07	0.94	159.63	250.45	39.40
150	2.98	0.13	2.19	206.49	152.08	34.43
151	2.59	0.03	6.44	39.05	133.84	203.31
152	3.14	0.07	12.13	40.12	56.04	15.24
153	3.97	0.14	7.83	228.39	42.60	233.04
154	3.19	0.08	21.03	36.97	154.05	108.24
155	2.76	0.27	11.39	41.10	45.88	27.74
156	2.73	0.22	9.75	242.20	337.77	43.99
157	2.58	0.19	12.15	62.14	46.80	9.60
158	2.87	0.06	1.00	278.59	144.39	220.62
159	3.10	0.11	6.13	134.33	335.66	155.64
160	2.73	0.07	3.82	8.86	50.01	286.66
161	2.38	0.14	9.05	18.79	294.27	274.77
162	3.03	0.17	6.08	36.46	112.23	217.37
163	2.37	0.19	4.81	160.37	297.54	197.27
164	2.63	0.35	24.48	77.16	283.63	307.84
165	3.13	0.08	11.24	302.67	350.95	75.36
166	2.69	0.21	12.01	129.13	264.05	352.93
167	2.86	0.03	2.21	166.45	124.30	247.28
168	3.38	0.07	4.63	206.46	168.02	214.31
169	2.36	0.13	5.51	354.85	334.44	159.82
170	2.55	0.06	14.40	301.47	158.02	130.52
171	3.13	0.13	2.54	100.61	58.47	324.78
172	2.38	0.12	10.04	332.14	359.32	100.77
173	2.74	0.21	14.21	148.37	228.11	325.45
174	2.86	0.15	12.13	327.82	289.87	173.46
175	3.19	0.23	3.22	21.41	321.36	8.77
176	3.20	0.16	22.56	200.77	185.32	144.16
177	2.77	0.24	1.39	347.68	38.47	201.52
178	2.46	0.04	1.90	51.20	211.62	102.60
179	2.97	0.12	7.82	252.14	105.57	329.22
180	2.72	0.17	0.87	312.73	175.61	77.86
181	3.14	0.20	18.81	143.71	316.92	349.64
182	2.42	0.19	2.00	107.30	309.68	332.86
183	2.80	0.35	26.40	142.24	263.92	106.27
184	3.18	0.08	1.15	332.49	207.64	94.87
185	2.74	0.13	23.25	154.06	223.29	113.14
186	2.36	0.15	13.17	14.88	314.96	188.44
187	2.73	0.24	10.60	21.90	195.05	0.69
188	2.76	0.18	11.73	241.24	68.62	145.14
189	2.45	0.04	5.18	203.62	167.43	312.69
190	3.98	0.17	6.17	176.00	274.81	318.53
191	2.90	0.09	11.51	159.48	228.74	183.98
192	2.40	0.25	6.83	343.46	29.74	36.71
193	2.60	0.29	12.03	350.23	81.06	41.33
194	2.62	0.24	18.50	159.54	162.98	121.45
195	2.88	0.04	6.98	7.24	122.21	322.24
196	3.11	0.02	7.25	72.64	204.03	216.88
197	2.74	0.16	8.79	81.79	245.81	166.96
198	2.46	0.23	9.30	268.68	88.19	112.07
199	3.18	0.17	15.43	88.98	179.91	57.21
200	2.74	0.13	6.90	324.73	86.06	153.51
201	2.68	0.18	5.76	157.17	180.70	192.79
202	3.07	0.10	8.83	137.10	0.37	304.92
203	2.74	0.06	3.18	348.02	59.86	188.86
204	2.67	0.17	8.27	205.22	55.70	339.68
205	2.78	0.04	10.69	212.07	171.51	8.54
206	2.74	0.04	3.78	145.28	302.77	131.83
207	2.28	0.03	3.80	29.29	193.60	246.58
208	2.89	0.01	1.75	4.60	130.50	46.10
209	3.15	0.06	7.18	0.84	251.19	269.70
210	2.72	0.12	5.26	32.86	13.92	290.96
211	3.04	0.16	3.88	263.77	174.94	179.21
212	3.11	0.11	4.27	313.70	99.63	338.85
213	2.75	0.14	6.80	122.19	163.25	350.65
214	2.61	0.03	3.43	342.21	130.34	243.96
215	2.77	0.03	1.69	25.05	321.31	244.63
216	2.79	0.25	13.14	215.67	179.10	34.14
217	2.87	0.31	10.48	163.15	154.33	200.75
218	2.67	0.12	15.23	170.90	61.08	279.02
219	2.35	0.22	10.84	200.97	142.06	145.55
220	2.35	0.26	7.58	258.06	78.61	31.63
221	3.01	0.10	10.89	141.96	196.06	332.73
222	3.14	0.14	2.16	80.34	178.51	309.43
223	3.09	0.12	1.94	48.36	57.87	255.17
224	2.65	0.05	5.84	353.03	284.18	96.47
225	3.38	0.27	20.90	197.20	104.72	199.15
226	2.71	0.20	15.92	135.19	152.68	147.70
227	3.15	0.20	9.15	327.81	262.09	40.26
228	2.20	0.24	2.54	313.53	18.61	142.12
229	3.41	0.15	2.09	28.34	312.32	126.80
230	2.38	0.06	9.43	239.98	138.97	43.75
231	2.92	0.16	5.10	350.93	267.38	244.71
232	2.55	0.18	6.07	152.55	51.27	254.79
233	2.66	0.10	7.67	222.12	126.19	240.72
234	2.39	0.24	15.35	144.65	192.22	307.22
235	2.88	0.06	9.03	66.25	211.82	29.33
236	2.80	0.19	7.69	186.18	173.75	111.38
237	2.76	0.07	9.75	84.45	201.75	47.71
238	2.91	0.09	12.41	184.20	206.97	39.17
239	2.98	0.23	6.17	180.90	208.89	127.60
240	2.66	0.21	2.10	115.23	300.59	165.74
241	3.06	0.10	5.50	270.71	77.31	206.29
242	2.86	0.12	11.32	207.38	276.49	199.44
243	2.86	0.05	1.14	324.22	108.75	245.47
244	2.18	0.14	2.84	209.10	166.04	164.60
245	3.09	0.20	5.18	61.56	327.07	67.35
246	2.70	0.11	15.65	162.53	95.22	295.82
247	2.74	0.24	24.99	0.23	55.15	221.92
248	2.47	0.07	4.05	247.09	10.75	253.02
249	2.38	0.22	9.63	334.87	41.83	148.60
250	3.15	0.12	12.84	24.10	75.03	19.95
251	3.09	0.11	10.53	156.31	287.13	240.28
252	3.16	0.08	10.07	202.30	154.19	98.00
253	2.65	0.27	6.74	179.64	157.42	266.01
254	2.20	0.12	4.51	28.54	233.24	117.46
255	2.74	0.08	9.49	13.77	153.02	52.88
256	3.00	0.07	13.32	183.12	50.08	252.64
257	3.12	0.12	3.65	34.89	24.73	344.10
258	2.62	0.20	14.29	207.70	154.92	235.69
259	3.14	0.12	10.82	87.15	168.90	98.58
260	3.44	0.12	6.45	165.84	178.27	170.84
261	2.33	0.09	3.64	96.78	65.47	285.87
262	2.55	0.21	7.71	38.71	24.53	309.86
263	2.89	0.08	1.31	216.66	158.53	38.39
264	2.80	0.14	10.43	49.80	339.24	71.49
265	2.42	0.27	25.63	335.64	251.76	38.76
266	2.80	0.16	13.39	236.01	151.37	229.54
267	2.77	0.10	6.01	73.93	196.79	129.93
268	3.10	0.13	2.44	120.98	70.80	242.15
269	2.62	0.21	5.48	156.82	119.89	297.92
270	2.20	0.15	2.37	254.57	80.44	358.95
271	3.01	0.10	3.54	335.71	58.17	150.80
272	2.78	0.03	4.44	37.47	68.49	108.16
273	2.40	0.16	20.44	159.15	120.61	65.13
274	3.04	0.13	3.68	92.93	120.47	325.66
275	2.77	0.16	4.77	134.29	37.26	106.11
276	3.11	0.07	21.65	211.30	268.38	150.88
277	2.89	0.09	1.16	231.80	133.98	125.53
278	2.76	0.13	7.82	62.13	140.93	196.73
279	4.28	0.01	2.34	73.64	82.14	264.33
280	2.94	0.11	7.45	10.40	85.72	298.02
281	2.19	0.13	5.31	31.50	16.31	292.72
282	2.34	0.08	9.02	145.06	295.69	173.13
283	3.04	0.15	7.99	304.51	54.06	49.25
284	2.36	0.22	8.06	233.98	57.44	270.31
285	3.08	0.21	17.62	311.45	15.20	73.46
286	3.20	0.03	17.87	149.26	221.52	19.37
287	2.35	0.02	10.02	142.49	120.04	32.53
288	2.76	0.21	4.33	120.59	83.17	332.84
289	2.87	0.21	6.69	182.21	189.68	313.23
290	2.34	0.26	22.31	10.64	104.82	66.21
291	2.22	0.09	1.85	161.69	331.60	275.85
292	2.53	0.03	14.92	43.66	285.42	54.94
293	2.86	0.10	15.59	61.43	88.82	310.04
294	3.14	0.25	6.30	136.27	184.73	175.86
295	2.80	0.17	2.70	276.45	147.90	79.96
296	2.23	0.16	1.75	121.62	252.15	79.47
297	3.16	0.15	7.55	332.24	355.69	81.69
298	2.26	0.10	6.28	8.35	134.58	45.89
299	2.43	0.06	1.60	241.63	150.52	5.12
300	3.21	0.05	0.74	42.72	332.97	287.37
301	2.73	0.07	4.89	142.66	121.87	257.71
302	2.41	0.11	3.41	7.97	54.70	157.85
303	3.12	0.07	6.88	344.16	66.25	306.90
304	2.40	0.22	15.84	159.23	172.40	6.25
305	3.10	0.18	4.45	207.87	259.69	346.56
306	2.36	0.15	7.27	142.05	167.67	359.05
307	2.91	0.14	6.11	101.26	322.78	38.56
308	2.75	0.04	4.36	181.93	110.24	226.27
309	2.66	0.11	3.72	356.63	311.52	294.92
310	2.76	0.12	3.17	229.44	325.32	293.56
311	2.90	0.01	3.23	81.16	41.88	130.55
312	2.78	0.16	9.04	6.77	260.62	211.06
313	2.38	0.18	11.65	176.83	315.77	184.87
314	3.15	0.18	12.57	170.61	190.14	79.35
315	2.24	0.17	2.43	161.76	172.79	263.72
316	3.17	0.15	2.34	124.04	314.75	287.04
317	2.29	0.09	1.76	151.46	186.80	253.76
318	3.19	0.08	10.64	161.67	300.36	132.61
319	3.39	0.23	10.56	185.45	228.45	1.99
320	3.01	0.11	9.38	220.05	151.46	223.64
321	2.89	0.04	2.59	40.46	30.43	343.49
322	2.79	0.24	8.01	252.77	114.23	150.93
323	2.38	0.30	24.23	97.46	291.36	286.61
324	2.68	0.34	11.11	328.06	44.07	342.14
325	3.20	0.17	8.54	345.29	67.89	350.60
326	2.32	0.19	23.72	32.34	238.47	264.82
327	2.78	0.06	7.15	354.91	309.48	13.66
328	3.11	0.11	16.08	352.62	100.99	275.79
329	2.48	0.02	15.89	178.56	53.60	277.70
330	2.47	0.25	6.75	137.20	259.44	220.10
331	3.02	0.10	6.05	22.21	335.24	0.15
332	2.77	0.09	2.85	31.69	298.04	346.69
333	3.12	0.17	3.79	354.16	17.72	90.85
334	3.90	0.03	4.64	130.41	144.23	282.06
335	2.47	0.17	5.09	148.54	139.56	347.38
336	2.25	0.10	5.65	235.19	31.30	149.71
337	2.38	0.14	7.85	355.57	98.62	97.79
338	2.91	0.02	6.04	287.67	124.26	156.00
339	3.01	0.10	9.94	173.86	159.29	186.91
340	2.74	0.12	4.68	27.11	42.75	171.39
341	2.20	0.19	5.67	29.20	293.35	156.87
342	2.57	0.13	7.34	232.78	225.35	25.82
343	2.41	0.23	3.27	38.76	9.13	325.89
344	2.59	0.32	18.36	48.25	237.38	7.27
345	2.32	0.06	9.75	212.80	229.96	173.72
346	2.80	0.10	8.76	92.17	290.11	4.51
347	2.61	0.16	11.70	85.86	84.76	85.71
348	2.97	0.07	9.76	90.21	7.45	280.11
349	2.93	0.09	8.25	32.50	347.03	178.63
350	3.11	0.15	24.88	90.23	339.13	123.98
351	2.76	0.16	9.19	99.45	31.79	78.00
352	2.19	0.15	3.38	247.43	144.33	210.40
353	2.73	0.33	5.71	102.66	321.08	289.74
354	2.80	0.11	18.38	140.51	6.95	296.95
355	2.54	0.11	4.28	352.08	104.51	243.69
356	2.75	0.24	8.23	354.86	78.93	182.73
357	3.15	0.07	15.10	138.19	247.43	113.79
358	2.88	0.15	3.55	172.50	251.45	33.42
359	2.73	0.16	6.78	6.42	337.46	105.19
360	3.00	0.18	11.71	132.67	288.68	254.14
361	3.95	0.21	12.63	18.96	68.32	151.46
362	2.58	0.04	8.07	27.41	31.80	97.18
363	2.75	0.07	5.95	65.00	294.68	344.00
364	2.22	0.15	6.00	105.68	312.53	2.59
365	2.80	0.16	12.80	185.50	214.83	52.52
366	3.15	0.06	10.56	347.03	322.87	253.31
367	2.22	0.10	2.94	83.56	55.25	342.33
368	3.07	0.20	7.77	227.56	91.00	207.41
369	2.65	0.10	12.70	94.40	269.36	210.33
370	2.32	0.09	7.87	291.18	67.88	94.09
371	2.73	0.06	7.38	283.79	340.29	285.19
372	3.14	0.26	23.87	327.47	116.10	235.90
373	3.11	0.15	15.45	4.06	347.94	76.56
374	2.78	0.08	8.99	219.24	27.57	98.32
375	3.12	0.11	15.93	336.69	344.81	67.42
376	2.29	0.17	5.43	302.27	316.34	119.48
377	2.69	0.08	6.68	210.31	194.66	34.29
378	2.78	0.13	7.01	232.77	156.08	17.96
379	3.13	0.19	1.67	172.28	180.11	82.17
380	2.68	0.11	6.15	95.26	240.00	224.44
381	3.22	0.10	12.53	125.35	137.21	343.86
382	3.12	0.18	7.41	313.67	270.90	315.65
383	3.14	0.17	2.65	93.22	318.25	41.15
384	2.65	0.15	5.60	48.11	33.58	273.29
385	2.85	0.13	13.57	345.26	188.41	4.69
386	2.89	0.17	20.26	166.95	220.29	285.62
387	2.74	0.24	18.13	128.33	157.68	28.50
388	3.01	0.06	6.46	354.63	332.95	277.67
389	2.61	0.07	8.14	282.58	263.26	64.47
390	2.65	0.13	12.14	305.35	190.05	235.60
391	2.32	0.31	23.17	213.01	146.56	62.30
392	2.89	0.14	14.32	209.90	174.76	175.88
393	2.78	0.33	14.87	212.52	91.05	337.51
394	2.76	0.23	6.22	67.37	269.77	29.09
395	2.79	0.08	3.35	259.65	12.78	19.61
396	2.74	0.16	2.54	250.20	19.73	230.90
397	2.63	0.25	12.84	228.27	139.47	292.30
398	2.74	0.22	9.52	280.12	159.55	98.21
399	3.06	0.07	13.08	346.61	189.33	186.03
400	3.13	0.11	10.53	327.32	240.35	245.70
401	3.35	0.04	5.97	36.25	287.57	207.28
402	2.56	0.11	11.82	129.59	18.28	307.12
403	2.81	0.10	9.15	244.86	251.80	174.54
