#epoch_mjd,a,e,i,om,w,ma,full_name
55200,44.1438192,0.0741080,2.18122,359.34471,3.04119,19.01767,"15760(1992QB1)"
55200,39.49123301305854,.3217702683937845,1.935310844780955,354.758756704318,78.62763119276858,341.5535531486033,"15788(1993SB)"
55200,39.7232116837095,.1887647928285152,5.147828665681454,354.5788057618867,318.0526266225237,55.40888756869138,"15789(1993SC)"
55200,43.6318891,0.0587273,0.56145,176.78880,303.28608,67.80598,"15807(1994GV9)"
55200,42.4119009,0.2209373,14.04798,56.34196,237.48695,342.41253,"15809(1994JS)"
55200,39.5269990,0.1198855,3.79926,144.82076,103.74667,18.78028,"15810(1994JR1)"
55200,39.67497744203232,.3196582550198142,12.13068996201934,317.3024044057154,98.52960519683565,347.2347997047785,"15820(1994TB)"
55200,36.2566459,0.0720830,6.56508,127.53090,332.28690,48.91005,"15836(1995DA2)"
55200,83.94441866499891,.5829270466608788,23.96520890511795,217.7492435228866,184.4025501549691,4.05071984419284,"15874(1996TL66)"
55200,39.51510395032781,.3332519314719745,5.693841407906961,316.671941182218,75.18422683368846,14.08751761806592,"15875(1996TP66)"
55200,46.8110951,0.2111186,19.19122,127.23805,299.83518,61.90790,"15883(1997CR29)"
55200,44.0985592,0.0515111,3.75034,25.68979,252.87858,315.52120,"16684(1994JQ1)"
55200,42.7730596,0.0308480,1.48607,72.37523,117.86920,253.80070,"19255(1994VK8)"
55200,39.7440724,0.2609506,4.73140,15.91920,29.71914,358.61568,"19299(1996SZ4)"
55200,43.47714103362116,.1169608345695369,27.36349088318148,355.1734637040055,242.4884600309776,125.9306411694625,"19308(1996TO66)"
55200,45.74534535524265,.1026653685894201,12.02953565320151,49.96237158424712,56.26725200060718,331.9566810786609,"19521Chaos(1998WH24)"
55200,42.85475424385203,.05603121375200059,17.19689205946436,97.31237127815697,265.4903935553579,102.3519382371284,"20000Varuna(2000WR106)"
55200,39.5980045,0.1489218,19.52726,187.96069,143.81299,49.12600,"20108(1995QZ9)"
55200,48.2024889,0.4020999,12.40227,342.96137,310.00439,45.89948,"20161(1996TR66)"
55200,41.89774211867142,.1047891907618229,27.01030139561483,20.99730205319491,69.52092578377774,322.1011443837681,"24835(1995SM55)"
55200,39.54930943932438,.2281502732616732,16.53911657383804,346.7724578260559,81.0919650715332,329.6810441963339,"24952(1997QJ4)"
55200,43.3845603,0.0474277,2.39605,50.45394,129.53021,60.70974,"24978(1998HJ151)"
55200,93.04852064985783,.5885370269037721,13.36631943460066,194.227130997503,356.6435988110179,8.073594439833357,"26181(1996GQ21)"
55200,47.98521057349755,.3745878973258298,13.47569888983073,183.0801019012559,131.4871679255988,37.83051550948306,"26308(1998SM165)"
55200,55.10647265688678,.4149086540402169,7.633152246987468,323.0415084640936,159.1436367425942,21.11115912756526,"26375(1999DE9)"
55200,39.62707876635339,.2453797286341767,19.62391807610691,71.03512147830999,299.1245261567396,272.9266616790317,"28978Ixion(2001KX76)"
55200,98.15477593496158,.8748947538519459,5.957967450239225,184.5881324928551,172.6649445230189,3.767027862155838,"29981(1999TD10)"
55200,39.93435750169964,.2685391905953214,4.82750756083907,342.0026166442335,25.04790912655898,5.239951614832018,"32929(1995QY9)"
55200,43.2966247,0.0392717,1.45883,350.14259,273.92644,226.96327,"33001(1997CU29)"
55200,33.1559334908556,.3837473586159459,14.27363058131087,132.8187495738263,281.8617043667774,61.02155639223894,"33128(1998BU48)"
55200,39.235130469327,.2514108469549476,3.040044840988079,127.903894132465,323.8549312421645,354.5133126368219,"33340(1998VG44)"
55200,38.082100196052,.04212299622521887,4.598056218370491,192.0960436143621,257.7088417186223,284.2122883648851,"35671(1998SN165)"
55200,38.88962748104189,.1531060102512035,12.77666968894531,10.02205549314727,79.21753234001757,91.43464517625866,"38083Rhadamanthus(1999HX11)"
55200,55.58923071406689,.414615128235817,13.16500051449256,166.5079989045224,66.78832868195778,352.0004021171951,"38084(1999HB12)"
55200,39.4417253934424,.2768887990108991,15.48724553470001,169.4030094643806,68.16997208917326,352.3805882364746,"38628Huya(2000EB173)"
55200,48.83460416978657,.3055854071873155,24.83990792703437,205.6559594264821,59.11895373123163,338.5319130039226,"40314(1999KR16)"
55200,51.86126203341144,.2856546228542982,.7521424538276315,301.6996345489531,344.2846253159071,69.71442817885618,"42301(2001UR163)"
55200,37.61326615954348,.534181792145022,2.433610466415879,351.9600807150076,158.8833721241647,5.717873563856381,"42355Typhon(2002CR46)"
55200,32.4827246340869,.456997575925415,2.621549304831638,259.1838399481462,143.8477844577647,332.7395600275292,"44594(1999OX3)"
55200,43.7046516,0.0131391,1.17766,173.36750,87.73876,55.02127,"45802(2000PV29)"
55200,39.64866389451532,.2289530876739092,8.415370456734196,97.05845761771728,294.4364899344189,352.6812551056435,"47171(1999TC36)"
55200,39.36603325373876,.2814580104131014,10.82625979557489,26.12312077795498,195.4816113060088,359.7521211993849,"47932(2000GN171)"
55200,52.73662074346624,.2408724726387422,.2459521580761127,260.4790089955172,84.56015176595761,36.14074795783674,"48639(1995TL8)"
55200,43.4122217,0.1080783,22.48526,132.27883,267.09515,301.07228,"49673(1999RA215)"
55200,43.47028493719533,.03948083329509187,7.994654849561818,189.0079123495709,153.468140623472,282.0304168512532,"50000Quaoar(2002LM60)"
55200,44.5201827,0.0627717,0.54761,63.99381,247.91371,307.57786,"52747(1998HM151)"
55200,44.0541853,0.0639649,0.36857,51.42443,242.74337,290.56318,"53311Deucalion(1999HU11)"
55200,125.0541863,0.7701412,5.69666,293.21216,304.24124,9.54141,"54520(2000PJ30)"
